nom,latitude,longitude,description,adresse_brut,type_lieu,public_cible,contact_telephone,horaires_ouverture_brut,services
Médiathèque du Taillan-Médoc,44.91146638,-0.6813065881,"Au cœur du Pôle Culturel de la Haye, la culture se livre ici dans un véritable écrin de verdure. Sur plus de 1500m2, profitez d’un choix de plus de 30 000 documents, au gré d’espaces chaleureux et accueillants, où l’équipe de la médiathèque vous accompagnera dans vos découvertes.",8 rue de Calavet,Bibliothèque / Médiathèque,"Allocataires,Séniors",05 56 35 60 96,Mardi : 14h-18h. Mercredi : 10h-18h. Vendredi : 14h-18h. Samedi : 10h-17h.,Accès à un équipement informatique
AGIRabcd (Association Générale des Intervenants Retraités actions de bénévoles de coopération et de développement),44.84580056,-0.6547196569,L’Association Générale des Intervenants Retraités met les compétences de ses bénévoles au service du public en difficulté.,55 avenue du Maréchal de Lattre de Tassigny,Association,Séniors,05 57 00 15 10,Lundi au Vendredi : 9h-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Arts et Loisirs d'Arlac - Centre Socioculturel,44.82323349,-0.6237266932,"Le centre socioculturel Arts et Loisirs d’Arlac est une association à but non lucratif, agréée d’Education Populaire. Elle fonctionne grâce à tous ses adhérents, des administrateurs élus lors de l’Assemblée Générale annuelle, ses nombreux bénévoles et une équipe de salariés.",14 rue Marcel,Centre social,Tout public,05 56 99 55 33,Lundi : 14h-19h. Mardi : 10h-12h/14h-19h. Mercredi : 9h30-12h/14h-17h30. Jeudi : 10h30-12h/14h-19h. Vendredi : 10h-12h/14h-19h. Samedi : 9h30-12h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Bureau Information Jeunesse Mérignac,44.84203534,-0.6465474676,"Le BIJ est un lieu d'accueil, d'information, de conseil et d'accompagnement aux projets pour : l’orientation, l’insertion, la recherche d’emploi : aide à la rédaction de CV et de lettre de motivation, les dispositifs d’aide ou projets de mobilité. Le BIJ propose au public différents services : accès à des postes informatiques, imprimante, scanner, photocopieuse ainsi que de la documentation et d’autres outils d’information.",Place Charles de Gaulle,Association,"Etrangers,Jeunes,Personnes en situation de handicap",05 57 00 02 40,Mardi et Vendredi : 14h-18h. Mercredi : 10h-13h/14h-18h. Jeudi : 14h-17h. Samedi : 10h-13h/14h-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
ConfluenceS,44.86435609,-0.725727941,"ConfluenceS est l'association qui regroupe l'Espace de Vie Sociale de Feydit (quartier de Corbiac), le centre social de la Maison d'Animation des Jalles (quartiers de Magudas et Caupian) et l'Espace de Vie Sociale de La Ruche (quartiers du centre-ville et Gajac). Elle accueille les familles des quartiers Est de la ville de Saint-Médard-en-Jalles.",11 rue du Commandant Charcot,Association,Tout public,05 56 05 82 19,Lundi au Jeudi : 8h30-12h30/13h30-18h00.,Accès à un équipement informatique
La Ruche – ConfluenceS,44.89342458,-0.714179885,L'association ConfluenceS regroupe 1 centre social et 2 Espaces de Vie Sociale sur Saint-Médard-en-Jalles. L'Espace de Vie Sociale de La Ruche y développe des projets d'animation de la vie locale en centre-ville.,23 rue Henri Martin,Association,"Tout public,Allocataires,Demandeurs d'emploi,Etrangers,Jeunes,Personnes en situation de handicap,Séniors",06 49 28 88 73,Ateliers informatiques : Mardi et Jeudi : 14h-16h. Permanences administratives : Mardi et Jeudi : 17h-19h.,Accès à un équipement informatique
Médiathèque de Saint-Médard-en-Jalles,44.89269636,-0.714965823,"Les Médiathèques vous proposent des livres, BD et mangas, CD et DVD, partitions et instruments de musique, jeux vidéo et jeux traditionnels, journaux et revues, un espace d’autoformation, deux espaces multimédia et des ressources numériques pour toute la famille. Vous y trouverez aussi une programmation culturelle riche et variée, renouvelée chaque mois.",Place de la République,Bibliothèque / Médiathèque,"Allocataires,Demandeurs d'emploi,Jeunes,Séniors",05 57 93 18 50,"Mardi, Jeudi et Vendredi : 14h30-18h. Mercredi : 10h-19h. Samedi : 10h-18h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
Maison de quartier Feydit,44.86971942,-0.7028107529,"L'association "" Centre d'animation de Feydit "", créée en décembre 1992, est une association de quartiers (secteurs EST de Saint-Médard-en-Jalles) dont les buts visent principalement la création de liens entre les habitants le dialogue et la solidarité entre générations, la possibilité pour chacun de s'exprimer et l'animation d'un centre d'accueil pour les jeunes. Les activités proposées par Feydit concernent toutes les classes d'âges.",60 route de Feydit,Maison de quartier,Séniors,05 56 05 49 32,Jeudi 14h-16 Point relais CAF.  Ponctuellement le Vendredi 14h-16h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Atelier Giono,44.84548673,-0.5629192084,"Les ateliers Brach et Giono de la ville de bordeaux dispensent des activités d'apprentissage tout le long de l'année aux personnes âgées de 60 ans, par le biais des intervenants professionnels Des cours d'informatiques sont donnés sous un format de stage de 3h à 6h autour  de différentes thématiques . Les tarifs d'un stage de 3h, établis en fonction des résidents bordelais, s'échelonnent  de 3 à 11 euros. Un forfait de 13 euros est appliqué aux seniors non domiciliés sur Bordeaux",Maison Polyvalente Coeur de Bastide 13 allée Jean Giono,"Commune (Ville, CCAS, Centre Culturel…)",Séniors,05 24 57 65 04,Lundi au Vendredi : 9h à 12 h et de 14h à 17h,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Ludo-Médiathèque de Saint-Médard-en-Jalles,44.90026279,-0.7449929129,"Les Médiathèques vous proposent des livres, BD et mangas, CD et DVD, partitions et instruments de musique, jeux vidéo et jeux traditionnels, journaux et revues, un espace d’autoformation, deux espaces multimédia et des ressources numériques pour toute la famille. Vous y trouverez aussi une programmation culturelle riche et variée, renouvelée chaque mois.","26, rue Aurel Chazeau",Bibliothèque / Médiathèque,"Allocataires,Demandeurs d'emploi,Jeunes,Séniors",05 56 01 40 85,Mardi et Vendredi : 14h30-18h. Mercredi : 10h-19h. Samedi : 10h-18h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
L'Eycho du Vigean,44.88064855,-0.6353870677,"L'Eycho est un lieu d'animation et de vie sociale à vocation familiale, pluri-générationnelle et donc ouvert à tou(te)s! Organisé en 4 pôles situés au cœur des quartiers Eysinais, Il propose des projets, des ateliers, des activités et des moments conviviaux à partager tout au long de l'année. Les actions de l'Eycho sont conçues avec les habitants et à partir de leurs attentes dans les domaines du sport, de la culture, des loisirs, du multimédia, de l'action sociale, de l'emploi, de la solidarité ou encore du développement durable.","Grand Caillou, Bât 11","Commune (Ville, CCAS, Centre Culturel…)",Tout public,09 81 03 92 43,"Lundi 10h-12h30/14h-17h, Mardi Mercredi Jeudi 9h-12h30/14h-19h, Vendredi 14h-18h, Samedi 14h-18h","Accès à un équipement informatique,Le public peut amener son propre matériel"
UDAF de la Gironde,44.8496867,-0.5822960163,"L'Union Départementale des Associations Familiale de Gironde est une association d'utilité publique dont la mission est de représenter les familles en défendant les intérêts de ces dernières. Dans le cadre des actions proposées aux familles, elle anime des ateliers de codage informatique pour les enfants et leurs parents afin de favoriser la formation à l'usage responsable du numérique et la relation intergénérationnelle.",25 rue Francis Martin,Association,Jeunes,05 56 01 42 19,Réception du public sur rendez-vous.,Accès à un équipement informatique
Bibliothèque Bordeaux Lac,44.87381975,-0.5723575007,"Au cœur de la cité arborée des Aubiers, la bibliothèque accompagne les familles et participe à la réflexion sur les changements urbains et architecturaux de ce quartier en pleine mutation. La bibliothèque met à votre disposition quatre postes Internet et des tables de travail.",Place Ginette Neveu,Bibliothèque / Médiathèque,Tout public,05 56 50 97 95,"Mardi : 10h-12h/14h-18h, Mercredi et Samedi : 10h-18h, Jeudi et Vendredi : 14h-18h.",Accès à un équipement informatique
Cap Sciences / Fab Lab du 127°,44.85967425,-0.5548409419,"Cap Sciences est un Centre de Culture Scientifique, Technique et Industrielle (CCSTI) qui a pour mission de diffuser la culture scientifique auprès du plus grand nombre. Ouvert au sein du Hangar 20 sur les quais, le Fab Lab du 127° est un lieu dédié à la fabrication numérique. Imprimantes 3D, découpes lasers ou vinyle, le Fab Lab propose un accès à des outils de fabrication numérique, un espace de travail et l'accompagnement d'une équipe de Fab managers. Ateliers, stages, projets, évènements rythment la programmation annuelle du lieu, accessible gratuitement sur certains rendez-vous (ateliers découverte, Open Labs) ou sur tarification ou abonnement pour les usagers plus réguliers.",quai de Bacalan,Tiers-lieu / Coworking / FabLab / Hackerspace,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",05 56 01 07 07,"Le Fab Lab est ouvert à 18h30 les Mercredis ""Open lab"" (gratuit), Jeudi et Vendredi : 14h-18h, Samedi et Dimanche : 14h-19h.",Accès à un équipement informatique
CLAP Sud-Ouest,44.87125383,-0.5471219313,"Dans sa partie DPLAI (Dispositif Permanent de Lutte de Analphabétisme et l’Illettrisme), le CLAP Sud Ouest association d'évaluation linguistique de la langue française, d'accompagnement et de suivi, propose l'action SILE (Soutien Informatique Lié à l'Emploi).","176, rue Achard Bât D",Association,"Demandeurs d'emploi,Etrangers,Jeunes",05 56 43 00 99,Du Lundi au Vendredi : 9h-12h/14h-17h.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
CPAM de la Gironde - Europe,44.85984192,-0.5795962009,"Les principales missions de la CPAM : gérer les droits à l'assurance maladie des assurés sociaux, verser les prestations dues à chaque assuré, appliquer le plan d'action relatif à la gestion du risque en relation avec les professionnels de santé ; mettre en œuvre les campagnes de prévention, mettre en œuvre la politique d’action sanitaire et sociale par des aides individuelles aux assurés ou des aides collectives aux associations, faciliter l’accès aux droits et aux soins.",Place de l'Europe,"Organisme de sécurité sociale (CAF, CPAM, CARSAT, MSA…)",Tout public,3646,Du Lundi au Vendredi : 9h-17h.,Accès à un équipement informatique
GP Inten6t,44.85984192,-0.5795962009,"Centre Social et Culturel du Grand Parc : Accompagnement Social et Développement Social Local, Animation de la vie locale et action culturelle, Participation des habitants et citoyenneté, Accueil de loisirs petite enfance, enfance, Jeunesse.",Place de l'Europe,Association,Tout public,05 56 50 38 22,Du Lundi au Vendredi : 9h30-18h30. Fermé le Jeudi matin.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
Maison de l'emploi de Bordeaux,44.86019219,-0.5751552747,"Créée à l’initiative de la Ville de Bordeaux, de l’Etat et de Pôle Emploi, la Maison de l’Emploi de Bordeaux agit pour l’accès à l’emploi, la création d’entreprise et le développement économique.",127 avenue Emile Counord,Association,"Allocataires,Demandeurs d'emploi,Jeunes,Personnes en situation de handicap,Séniors",05 57 78 37 37,Du Lundi au Vendredi : 9h-12h30/13h30-17h30.,"Accès à un équipement informatique,Le public peut amener son propre matériel"
CAIO,44.83839393,-0.5686112159,"Le Centre d'accueil, d'information et d'orientation (CAIO) a pour but d'accueillir, d'informer et d'orienter les personnes les plus en difficultés et de les accompagner dans la recherche d'un hébergement et d'un logement autonome, et d'un emploi stable.",7 rue Ausone,Association,Tout public,05 56 48 26 12,"Lundis, Jeudis et Vendredis : 14h-17h.","Accès à un équipement informatique,Le public peut amener son propre matériel"
